the_geom,segmentid,bikeid,prevbikeid,status,boro,street,fromstreet,tostreet,onoffst,facilitycl,allclasses,bikedir,lanecount,ft_facilit,tf_facilit,ft2facilit,tf2facilit,instdate,ret_date,grnwy,gwsystem,gwsys2,spur,gwyjuris
"MULTILINESTRING ((-74.192429667502 40.521741493622734, -74.1951900846669 40.519998791664904))",2579.0,6562.0,NA,Current,5,HYLAN BLVD,HOLTEN AV,LUTEN AV,ON,II,II,2,2,Curbside Buffered,Curbside Buffered,,,2007-10-01T00:00:00.000,,Greenway,Staten Island Waterfront,,Main Alignment,NYCDOT
"MULTILINESTRING ((-74.16031384424598 40.589027527481505, -74.16126386213497 40.58807622459019))",5033.0,4272.0,,Current,5,MERRYMOUNT ST,RICHMOND HILL RD,ROCKLAND AV,ON,II,II,2,2,Conventional Buffered,Conventional Buffered,,,2021-08-12T00:00:00.000,,,,,,
"MULTILINESTRING ((-74.12631986979562 40.635252327237055, -74.12595665955017 40.63385870272121))",10186.0,2107.0,NA,Current,5,CLOVE ROAD,RICHMOND TERR,FOREST AVE,ON,III,III,2,2,Shared,Shared,,,2015-09-11T00:00:00.000,,,,,,
"MULTILINESTRING ((-74.00973537112554 40.64566683581713, -74.01031893929684 40.645106662743515))",20716.0,942.0,NA,Current,3,5 AV,23 ST,50 ST,ON,III,III,2,2,Shared,Shared,,,2013-07-02T00:00:00.000,,,,,,
"MULTILINESTRING ((-74.02089492413252 40.62654299227484, -74.02098508259608 40.626323879369245))",126857.0,951.0,NA,Current,3,6 AVENUE,67 ST,FT HAMILTON PKWY,ON,III,III,2,2,Shared,Shared,,,2015-06-29T00:00:00.000,,,,,,
"MULTILINESTRING ((-73.82393140603143 40.617240411111595, -73.8238304161413 40.61710686648486, -73.82365215910158 40.61692686777038, -73.82357130837005 40.616842497121716, -73.8232792516581 40.61649663865359, -73.82252246340727 40.61561088569937, -73.82252062110807 40.615610882854945))",235096.0,1821.0,NA,Current,4,CROSS BAY BLVD GREENWAY,CHANNEL BR,CROSS BAY BLVD,OFF,I,I,2,2,Protected,Protected,,,2006-01-01T00:00:00.000,,Greenway,Jamaica Bay,,Main Alignment,NPS
"MULTILINESTRING ((-73.93214331495858 40.82829368077881, -73.93163292871641 40.8283324149012, -73.93162906807261 40.82833305556602, -73.93162526651865 40.828333876364795, -73.93162153946963 40.82833487370473, -73.93161790115518 40.82833604399221, -73.9316143646195 40.82833738363308, -73.93161094409504 40.82833888633227, -73.93160765262778 40.82834054669457, -73.93160450207913 40.82834235842354, -73.93160150549711 40.82834431432303, -73.93159867237298 40.82834640719466, -73.93159601694022 40.82834862984295, -73.93159354632196 40.82835097236664, -73.93159127119603 40.828353426667654))",241492.0,3037.0,NA,Current,2,MACOMBS DAM BR,BRONX BOROUGH BOUNDARY,E 161 ST,OFF,L,L,2,0,Link,Link,,,2002-06-01T00:00:00.000,,,,,,
"MULTILINESTRING ((-73.93119598604675 40.82841807759464, -73.93100801338996 40.82845319176629))",241528.0,3037.0,NA,Current,2,MACOMBS DAM BR,BRONX BOROUGH BOUNDARY,E 161 ST,OFF,L,L,2,0,Link,Link,,,2002-06-01T00:00:00.000,,,,,,
"MULTILINESTRING ((-73.9298279575857 40.78500914341205, -73.9298303026912 40.784987282462886, -73.92983243574152 40.784965409678016, -73.92983435910725 40.784943524158294, -73.92983607160005 40.78492162950511, -73.92983757322014 40.784899725718404, -73.92983886396576 40.78487781459921, -73.92983994265258 40.784855896146844, -73.92984081164816 40.78483397216373, -73.92984146858144 40.7848120444494, -73.92984191582111 40.784790113905856, -73.92984215099801 40.784768180531636, -73.92984217410942 40.78474624702823, -73.92984198752406 40.784724314297605, -73.9298415888727 40.78470238233829))",245184.0,3025.0,NA,Current,1,RFK BR,MN QN BOUNDARY,HELL GATE CR,OFF,L,L,2,0,Link,Link,,,1936-07-11T00:00:00.000,,,,,,
"MULTILINESTRING ((-73.96727126729671 40.763480237585505, -73.9656695988094 40.762804555298516))",36279.0,4376.0,,Current,1,E 61 ST,1 AV,5 AV,ON,I,I,L,1,,Protected,,,1900-01-01T00:00:00.000,,,,,,
